Row-number,IATI-XML,IATI-Section,IATI-Item,Proposed-IATI-Field,Proposed-HXL-Hashtag,Proposed-Database-Field,Notes
390,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative/text(),,,,,,
391,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative/@xml:lang,,xml:lang,,,,
392,iati-activities/iati-activity/result/indicator/baseline/document-link/category,,category,,,,
393,iati-activities/iati-activity/result/indicator/baseline/document-link/category/@code,,code,,,,
394,iati-activities/iati-activity/result/indicator/baseline/document-link/language,,language,,,,
395,iati-activities/iati-activity/result/indicator/baseline/document-link/language/@code,,code,,,,
396,iati-activities/iati-activity/result/indicator/baseline/document-link/document-date,,document-date,,,,
397,iati-activities/iati-activity/result/indicator/baseline/document-link/document-date/@iso-date,,iso-date,,,,
398,iati-activities/iati-activity/result/indicator/baseline/comment,,comment,,,,
399,iati-activities/iati-activity/result/indicator/baseline/comment/narrative,,narrative,,,,
400,iati-activities/iati-activity/result/indicator/baseline/comment/narrative/text(),,,,,,
401,iati-activities/iati-activity/result/indicator/baseline/comment/narrative/@xml:lang,,xml:lang,,,,
402,iati-activities/iati-activity/result/indicator/period,,period,,,,
403,iati-activities/iati-activity/result/indicator/period/period-start,,period-start,,,,
404,iati-activities/iati-activity/result/indicator/period/period-start/@iso-date,,iso-date,,,,
405,iati-activities/iati-activity/result/indicator/period/period-end,,period-end,,,,
406,iati-activities/iati-activity/result/indicator/period/period-end/@iso-date,,iso-date,,,,
407,iati-activities/iati-activity/result/indicator/period/target,,target,,,,
408,iati-activities/iati-activity/result/indicator/period/target/@value,,value,,,,
409,iati-activities/iati-activity/result/indicator/period/target/location,,location,,,,
410,iati-activities/iati-activity/result/indicator/period/target/location/@ref,,ref,,,,
411,iati-activities/iati-activity/result/indicator/period/target/dimension,,dimension,,,,
412,iati-activities/iati-activity/result/indicator/period/target/dimension/@name,,name,,,,
413,iati-activities/iati-activity/result/indicator/period/target/dimension/@value,,value,,,,
414,iati-activities/iati-activity/result/indicator/period/target/comment,,comment,,,,
415,iati-activities/iati-activity/result/indicator/period/target/comment/narrative,,narrative,,,,
416,iati-activities/iati-activity/result/indicator/period/target/comment/narrative/text(),,,,,,
417,iati-activities/iati-activity/result/indicator/period/target/comment/narrative/@xml:lang,,xml:lang,,,,
418,iati-activities/iati-activity/result/indicator/period/target/document-link,,document-link,,,,
419,iati-activities/iati-activity/result/indicator/period/target/document-link/@url,,url,,,,
420,iati-activities/iati-activity/result/indicator/period/target/document-link/@format,,format,,,,
421,iati-activities/iati-activity/result/indicator/period/target/document-link/title,,title,,,,
422,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative,,narrative,,,,
423,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative/text(),,,,,,
424,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative/@xml:lang,,xml:lang,,,,
425,iati-activities/iati-activity/result/indicator/period/target/document-link/description,,description,,,,
426,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative,,narrative,,,,
427,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative/text(),,,,,,
428,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative/@xml:lang,,xml:lang,,,,
429,iati-activities/iati-activity/result/indicator/period/target/document-link/category,,category,,,,
430,iati-activities/iati-activity/result/indicator/period/target/document-link/category/@code,,code,,,,
431,iati-activities/iati-activity/result/indicator/period/target/document-link/language,,language,,,,
432,iati-activities/iati-activity/result/indicator/period/target/document-link/language/@code,,code,,,,
433,iati-activities/iati-activity/result/indicator/period/target/document-link/document-date,,document-date,,,,
434,iati-activities/iati-activity/result/indicator/period/target/document-link/document-date/@iso-date,,iso-date,,,,
435,iati-activities/iati-activity/result/indicator/period/actual,,actual,,,,
436,iati-activities/iati-activity/result/indicator/period/actual/@value,,value,,,,
437,iati-activities/iati-activity/result/indicator/period/actual/location,,location,,,,
438,iati-activities/iati-activity/result/indicator/period/actual/location/@ref,,ref,,,,
439,iati-activities/iati-activity/result/indicator/period/actual/dimension,,dimension,,,,
440,iati-activities/iati-activity/result/indicator/period/actual/dimension/@name,,name,,,,
441,iati-activities/iati-activity/result/indicator/period/actual/dimension/@value,,value,,,,
442,iati-activities/iati-activity/result/indicator/period/actual/comment,,comment,,,,
443,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative,,narrative,,,,
444,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative/text(),,,,,,
445,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative/@xml:lang,,xml:lang,,,,
446,iati-activities/iati-activity/result/indicator/period/actual/document-link,,document-link,,,,
447,iati-activities/iati-activity/result/indicator/period/actual/document-link/@url,,url,,,,
